dataset,AUC_Original_mean,AUC_Original_std,AUC_Random_mean,AUC_Random_std,AUC_Tournament_mean,AUC_Tournament_std,Time_mean_sec,Memory_delta_MB,n_runs
Friday-WorkingHours-Morning.npz,0.5330220028197468,0.02204040953160218,0.6414045027802935,0.018162018046666676,0.6207357649985277,0.013937384181018468,1866.1095343589782,9.0640625,10
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9212958502849723,0.005153754191767824,0.920903108435813,0.004909041666401873,0.9153569383703477,0.004817460181342579,3037.186259007454,2.433984375,10
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6123685918615444,0.028990339928262145,0.6790271093755199,0.01252025436272172,0.616261068321366,0.029883128597255577,1599.5762955665589,7.01015625,10
Tuesday-WorkingHours.npz,0.6399161237052617,0.007251898136879328,0.6335996953793833,0.014294067656006272,0.5891078632026817,0.021234064032006505,4919.945180606842,6.84921875,10
backdoor.npz,0.6444536941878234,0.023403307913017143,0.6508670304759531,0.03891261584375247,0.6064642550450838,0.04984500712162337,796.1034551620484,19.820703125,10
campaign.npz,0.7062853010613347,0.0044012720223492825,0.728326662056134,0.015334679666440625,0.6835233091555555,0.009865875910445564,295.44458827972414,6.651953125,10
celeba.npz,0.7887073001192156,0.0037521689754131935,0.7096666435968675,0.005567032857327599,0.6482067054021055,0.008257527111084118,2132.998709845543,-1.090234375,10
census.npz,0.6686253181973513,0.00956650104979483,0.6454787735802687,0.00442063607441285,0.5588223356786239,0.007247224630492702,3390.926938676834,-20.282421875,10
cover.npz,0.8849132696224375,0.017646795384226532,0.7939739559332424,0.04777477259925725,0.7723515059465611,0.053955481524244155,3095.3345688581467,9.6234375,10
donors.npz,0.7335101694330763,0.006725369029779004,0.8042480741232968,0.0035641479605088462,0.7872274852318186,0.002057155342482508,7444.323435568809,33.670703125,10
fraud.npz,0.9436993142410893,0.0016641513767330285,0.9461681571267639,0.0018603535212322027,0.9461051137171941,0.0010953669809800966,3153.45672519207,9.590625,10
http.npz,0.9470813294851614,0.012011522142432516,0.933967747767902,0.01666459134842013,0.9393373191394424,0.009344996408875513,6206.574618339539,37.883203125,10
insects.npz,0.7502023521458172,0.00457959105266149,0.7686569431131182,0.007835793928012638,0.784305826981681,0.00811739488022789,2229.104787802696,-1.7859375,10
mammography.npz,0.8695876027295967,0.007378881930507717,0.8670222677624491,0.007512912225971691,0.8682363608194423,0.006651030090350035,68.90611691474915,-11.463671875,10
mulcross.npz,0.9783902654826304,0.001522294890402277,0.9698950267026577,0.0019124597119920608,0.9613153590553825,0.002655832821212746,2577.053284549713,28.3296875,10
nyc_taxi.npz,0.6070014171782137,0.013002677460530559,0.5992635421370254,0.013503035397841345,0.5992635421370254,0.013503035397841345,63.7552579164505,-7.03671875,10
nyc_taxi_shingle.npz,0.6552386726120859,0.006480244645737974,0.668766851784009,0.013071805693141293,0.6707695794929023,0.01070525207436587,61.53080713748932,0.245703125,10
shuttle.npz,0.9969242594393093,0.0005301358180563244,0.9958013468910061,0.000674108648009402,0.9957613981107165,0.0006646160244294238,345.97514669895173,0.23125,10
smtp.npz,0.8901722977945041,0.009038609597195102,0.9035351183342796,0.0052336154943850716,0.9037135133051601,0.004564391874946139,680.8454248189926,40.551171875,10
