dataset,AUC_AIF,AUC_LOGISTIC,AUC_ANOVA,AP_AIF,AP_LOGISTIC,AP_ANOVA,runtime_s,memory_MB,features_logistic,features_anova
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.6384753434062013,0.5748483904156848,0.010645370385398478,0.013116133963256055,0.01111770287739346,269.39175248146057,33.578125,65,2
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9160489570265844,0.9209489048143811,0.010371377864682113,0.008719792941822882,0.007046743869442444,420.54595923423767,12.37109375,63,53
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6695103427976257,0.7206027918304081,0.015146599370935602,0.01849601020982664,0.021458230674324234,241.85933113098145,5.484375,65,53
Tuesday-WorkingHours.npz,0.6052959927879411,0.5888961380193245,0.686958223329943,0.03864480678744831,0.038173102816995964,0.04912438960034181,638.1379661560059,32.91015625,56,4
backdoor.npz,0.5963380148386174,0.6940274218941167,0.7338158677174661,0.027625146191070565,0.039060413053180844,0.046467378953680374,162.5395531654358,26.7265625,47,137
campaign.npz,0.7130010091830112,0.6826188835749303,0.8216913462645251,0.2974125998622045,0.24069939356667652,0.3878285929322464,63.014604330062866,-29.17578125,54,10
celeba.npz,0.7872573682934594,0.6796994762192463,0.856344518948626,0.09646538483721136,0.05431047688514073,0.12040407226332572,298.687846660614,7.0703125,36,27
census.npz,0.6640788103752422,0.552625681343498,0.8140870193545455,0.09166539355543213,0.06354775099346052,0.2222659857184666,499.47420930862427,163.78515625,121,23
cover.npz,0.8459589406083023,0.789768062617271,0.8832878399942428,0.04308704444722577,0.06069060942124362,0.057186971846818924,374.19005393981934,-135.53125,10,7
donors.npz,0.7285119295973419,0.7654962377404646,0.9530905876433291,0.12071910411489759,0.1162757185044612,0.4018699427126726,713.670892238617,47.9453125,10,1
fraud.npz,0.94359164352947,0.9466484485818075,0.9473051260417815,0.12447827141080994,0.1100178180597783,0.34584238504508025,371.60917258262634,10.078125,29,20
http.npz,0.917001984023586,0.9023397633608154,0.8174909570336393,0.02316585031290262,0.019699995308089312,0.010865651685527746,712.7557406425476,14.33984375,2,2
insects.npz,0.7729105476895338,0.7449992117398726,0.7949223644156735,0.1254318513211201,0.10559506924340448,0.14273324074645277,277.4210593700409,5.94921875,33,11
mammography.npz,0.8680805850745428,0.8658296889414713,0.8777315333206571,0.30771624259706637,0.21713252086583354,0.2510738974084851,14.295019626617432,0.0234375,6,4
mulcross.npz,0.9763467879159038,0.9653294832259269,0.988537057153626,0.6569661210237204,0.5808280238417332,0.7989684506690073,349.166622877121,8.12109375,4,1
nyc_taxi.npz,0.6192066738567994,0.6217693027605228,0.6364565091041114,0.09240712606725056,0.08648360328621782,0.0942416798980674,13.65984582901001,0.01953125,1,0
nyc_taxi_shingle.npz,0.6813452188068593,0.7010354602156109,0.6763310705893353,0.2153844129732366,0.2240069874413838,0.2303630698156785,13.423951864242554,0.01953125,48,17
shuttle.npz,0.996147481557389,0.9956105013227977,0.9949495179848734,0.9482699278571912,0.9655547765810856,0.9625754587597954,64.43136167526245,-0.19140625,9,2
smtp.npz,0.8950786325505119,0.9072736861285733,0.781866506878596,0.002263510033788161,0.0019461191750963646,0.002046871642500479,122.74604177474976,0.44140625,3,2
