dataset,AUC_AIF,AUC_AIF_ANOVA,AP_AIF,AP_AIF_ANOVA,runtime_s,memory_MB,selected_features_last,AUC_gain
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.547965982078694,0.010645370385398478,0.012078730632132093,280.0362367630005,61.9765625,19,-0.011150920619941385
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9475488276512133,0.010371377864682113,0.05636111278554305,430.52615094184875,34.53515625,13,0.022760198514185537
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6720870839591423,0.015146599370935602,0.03303728190381912,234.64901518821716,24.328125,26,0.09137691128771042
Tuesday-WorkingHours.npz,0.6052959927879411,0.2780110852660013,0.03864480678744831,0.022601707750333978,645.09210729599,26.13671875,19,-0.3272849075219398
backdoor.npz,0.5963380148386174,0.14608152698329155,0.027625146191070565,0.01354771536982618,153.5223150253296,27.10546875,34,-0.4502564878553258
campaign.npz,0.7130010091830112,0.6660336560234439,0.2974125998622045,0.21293845667984165,57.51663017272949,-40.43359375,12,-0.04696735315956735
celeba.npz,0.7872573682934594,0.7158707424566432,0.09646538483721136,0.07333311168406847,265.98565340042114,-45.92578125,13,-0.07138662583681621
census.npz,0.6640788103752422,0.5959138860982833,0.09166539355543213,0.07144965252637346,571.9568061828613,121.2265625,71,-0.06816492427695886
cover.npz,0.8459589406083023,0.7797932582846782,0.04308704444722577,0.03133934681559443,474.76713395118713,-125.36328125,3,-0.06616568232362419
donors.npz,0.7285119295973419,0.7289700839991958,0.12071910411489759,0.12085715062538181,944.6798961162567,58.5625,1,0.0004581544018539274
fraud.npz,0.94359164352947,0.9449215444223451,0.12447827141080994,0.09993498066825222,498.698490858078,4.7890625,5,0.0013299008928751022
http.npz,0.917001984023586,0.9839817929383,0.02316585031290262,0.1908072505162615,871.0973417758942,16.953125,1,0.066979808914714
insects.npz,0.7729105476895338,0.7208735261353181,0.1254318513211201,0.10405338386973373,297.2139844894409,46.05078125,10,-0.052037021554215745
mammography.npz,0.8680805850745428,0.8826759343375659,0.30771624259706637,0.28630007850434397,14.070666313171387,0.12890625,1,0.014595349263023083
mulcross.npz,0.9763467879159038,0.9806778808027466,0.6569661210237204,0.709097625925782,337.6857490539551,19.7265625,2,0.004331092886842858
nyc_taxi.npz,0.6192066738567994,0.5869847474097216,0.09240712606725056,0.07748567806286732,13.201768398284912,-0.98046875,0,-0.032221926447077776
nyc_taxi_shingle.npz,0.6813452188068593,0.6130972180281709,0.2153844129732366,0.09452012878437178,13.042705774307251,-0.68359375,19,-0.06824800077868842
shuttle.npz,0.996147481557389,0.9937926065809704,0.9482699278571912,0.9448740213955219,63.337562561035156,0.0,3,-0.0023548749764186194
smtp.npz,0.8950786325505119,0.7638044978940213,0.002263510033788161,0.0013875412498069166,116.04846930503845,0.06640625,1,-0.13127413465649063
