dataset,AUC_AIF,AUC_FS,AP_AIF,AP_FS,runtime_s,memory_MB,anomaly_ratio,last_selected_features,AUC_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.47607290532912494,0.010645370385398478,0.009242484613545297,239.8659863471985,59.18359375,0.010291415619290908,46.0,0.0830439973695104
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9260515791881233,0.010371377864682113,0.006326118752184785,374.9389190673828,29.76953125,0.00012473926029618645,46.0,-0.0012629500510955571
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6282571900245435,0.015146599370935602,0.016167509183033564,214.1596975326538,18.625,0.01279598041862813,46.0,-0.04754701735311162
Tuesday-WorkingHours.npz,0.6052959927879411,0.5867334051464925,0.03864480678744831,0.03496006927021009,560.8009583950043,51.296875,0.031026509893274188,44.0,0.01856258764144858
backdoor.npz,0.5963380148386174,0.6195658180861232,0.027625146191070565,0.02877922243233986,146.20305919647217,25.97265625,0.02443118043827167,105.0,-0.02322780324750584
campaign.npz,0.7130010091830112,0.6972074572220566,0.2974125998622045,0.2589580311647609,54.90058398246765,-11.55078125,0.11265417111780131,38.0,0.015793551960954666
celeba.npz,0.7872573682934594,0.828412034291634,0.09646538483721136,0.09359146077073364,279.2111351490021,-35.94921875,0.022443348683853327,23.0,-0.04115466599817463
census.npz,0.6640788103752422,0.6074261409384414,0.09166539355543213,0.07357298544099848,432.5938572883606,60.95703125,0.062041198189017155,221.0,0.05665266943680081
cover.npz,0.8459589406083023,0.8185185527034989,0.04308704444722577,0.042820313631525664,323.3485379219055,-102.6953125,0.009603283365029646,6.0,0.02744038790480341
donors.npz,0.7285119295973419,0.74727066269325,0.12071910411489759,0.10179398048977861,712.8579370975494,59.625,0.05927411411760527,6.0,-0.018758733095908142
fraud.npz,0.94359164352947,0.9428983640468627,0.12447827141080994,0.2078303047909182,353.7385342121124,-32.99609375,0.001727485630620034,18.0,0.0006932794826073341
http.npz,0.917001984023586,0.6117614757853612,0.02316585031290262,0.005083028994832673,579.3235142230988,50.57421875,0.003896048972859816,1.0,0.3052405082382248
insects.npz,0.7729105476895338,0.6549624371068858,0.1254318513211201,0.07400311944640023,241.10144805908203,-48.109375,0.05505990193587246,20.0,0.11794811058264798
mammography.npz,0.8680805850745428,0.8285582997063361,0.30771624259706637,0.13164067958719392,12.295048952102661,0.02734375,0.023249575248144506,3.0,0.03952228536820668
mulcross.npz,0.9763467879159038,0.9629444939965437,0.6569661210237204,0.5611410212386542,302.2487196922302,29.54296875,0.09999847412109375,2.0,0.013402293919360098
nyc_taxi.npz,0.6192066738567994,0.6364565091041114,0.09240712606725056,0.0942416798980674,10.02872920036316,0.140625,0.05193798449612403,,-0.01724983524731205
nyc_taxi_shingle.npz,0.6813452188068593,0.6659212857863297,0.2153844129732366,0.2090946172983202,11.598654508590698,0.1015625,0.052175605957363966,30.0,0.015423933020529579
shuttle.npz,0.996147481557389,0.9939506172870359,0.9482699278571912,0.9589582633237219,56.23748016357422,-0.96875,0.0715114976475141,5.0,0.0021968642703530383
smtp.npz,0.8950786325505119,0.5281340888225441,0.002263510033788161,0.0003958832598532614,84.21465182304382,0.26171875,0.0003152717642607928,1.0,0.3669445437279678
