dataset,AUC_ScoreBased_mean,AUC_ScoreBased_std,AUC_Baseline_mean,AUC_Baseline_std,Feat_ScoreBased_mean,Feat_Baseline_mean
Friday-WorkingHours-Morning.npz,0.6205626373166244,0.017899625577877058,0.6397273429651428,0.018423322816596005,68.05898123324397,77.15
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9136604749385274,0.006109334413849475,0.9205156561526074,0.005049556408283912,58.385536823425014,77.98873114463177
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6305966962963787,0.016797507047507963,0.6823928695370797,0.008630179545257952,62.0781954887218,76.83473684210526
Tuesday-WorkingHours.npz,0.5962745259277832,0.01705147833719089,0.6360960496184129,0.0132652270660321,70.079437105112,75.70838598506604
backdoor.npz,0.5796947307672775,0.03165750983635387,0.6276518813741649,0.05331848201052119,41.29462365591398,188.49139784946234
campaign.npz,0.6806428213912361,0.012093762186070887,0.7272215765851615,0.01310618785892605,50.68375,51.05
celeba.npz,0.6503922523611779,0.004464359789878165,0.7096393356668929,0.002117087912790039,36.64639696586598,37.75941845764854
census.npz,0.5554123292905226,0.008487674281372131,0.6411969319813117,0.005757020644370257,152.6834901625321,380.8658682634731
cover.npz,0.779234906123836,0.04980425672651603,0.8009156196385762,0.04388698391638004,10.0,10.0
donors.npz,0.7866286181687363,0.0024696386276178164,0.8017401437688216,0.0031141302749657955,9.995039272426622,9.868582058701943
fraud.npz,0.9457850783562088,0.0011358319580006956,0.9462041682983875,0.0020512828642281645,29.0,29.0
http.npz,0.9383722598703134,0.00958250477383559,0.9319360269213586,0.01903670558497061,2.446750902527076,2.998736462093863
insects.npz,0.7871624498749988,0.0071192888855242465,0.767570053227179,0.007656426567535371,33.0,33.0
mammography.npz,0.8673301572546286,0.006823823800225926,0.8680460601835225,0.007513849197715619,6.0,5.981395348837209
mulcross.npz,0.9550081347441288,0.004545738039843878,0.9697580407625435,0.0018763900319631586,4.0,4.0
nyc_taxi.npz,0.5992635421370254,0.013503035397841345,0.5992635421370254,0.013503035397841345,1.0,1.0
nyc_taxi_shingle.npz,0.675180550722816,0.008207969474058184,0.6671937439739783,0.010615433253280307,48.0,48.0
shuttle.npz,0.9959058770023421,0.0008894486309903346,0.9954095334475552,0.0006402698815841086,9.0,8.978534031413611
smtp.npz,0.8984372481410621,0.008897302989474479,0.9058452648767601,0.004418203269990499,2.981132075471698,3.0
